,month,day,year,city,state,nwound,nkill,naff,suicide,killed_by_police,source_quoted,shots_fired_at_schoolgrounds,shots_fired_at_bar_nightclub_stripclub,shots_fired_at_home,gender,location,lon,lat,date,Time
123,3,31,2010,New Orleans,LA,0,3,3,1,0,1,0,0,1,1,"New Orleans, LA",-90.0715323,29.9510658,3/31/2010,1915
124,3,31,2010,Aransas Pass,TX,4,1,5,0,0,1,0,0,1,1,"Aransas Pass, TX",-97.1505561,27.909532,3/31/2010,1915
125,3,30,2010,Washington,DC,5,4,9,0,0,1,0,0,0,1,"Washington, DC",-77.0368707,38.9071923,3/30/2010,1914
126,3,27,2010,Chattanooga,TN,NA,NA,5,0,0,1,0,0,0,NA,"Chattanooga, TN",-85.3096801,35.0456297,3/27/2010,1911
127,3,25,2010,New Orleans,LA,0,4,4,0,0,1,0,0,1,NA,"New Orleans, LA",-90.0715323,29.9510658,3/25/2010,1909
128,3,21,2010,Milwaukee,WI,5,0,5,0,0,1,0,0,1,1,"Milwaukee, WI",-87.9064736,43.0389025,3/21/2010,1905
129,3,18,2010,Chicago,IL,4,0,4,0,0,1,0,0,0,NA,"Chicago, IL",-87.6297982,41.8781136,3/18/2010,1902
130,3,17,2010,Winnsboro,SC,NA,NA,4,0,0,1,0,0,1,1,"Winnsboro, SC",-81.0864776,34.3807012,3/17/2010,1901
131,3,13,2010,Pomona,CA,5,0,5,0,0,1,0,0,1,NA,"Pomona, CA",-117.7499909,34.055103,3/13/2010,1897
132,3,11,2010,Detroit,MI,3,1,4,0,0,1,0,0,0,NA,"Detroit, MI",-83.0457538,42.331427,3/11/2010,1895
133,2,22,2010,New York,NY,0,3,3,1,0,1,0,0,0,1,"New York, NY",-74.0059728,40.7127753,2/22/2010,1878
134,2,21,2010,Philadelphia,PA,3,1,4,0,0,1,0,1,0,NA,"Philadelphia, PA",-75.1652215,39.9525839,2/21/2010,1877
135,2,12,2010,Huntsville,AL,3,3,6,0,0,1,1,0,0,0,"Huntsville, AL",-86.5861037,34.7303688,2/12/2010,1868
136,1,24,2010,Miami-Dade County,FL,3,1,4,0,0,1,0,0,1,NA,"Miami-Dade County, FL",-80.6326916,25.5516034,1/24/2010,1849
137,1,21,2010,Milwaukee,WI,NA,NA,5,0,0,1,0,1,0,NA,"Milwaukee, WI",-87.9064736,43.0389025,1/21/2010,1846
138,1,19,2010,Appomattox,VA,0,8,8,0,0,1,0,0,1,1,"Appomattox, VA",-78.8252911,37.3570894,1/19/2010,1844
139,1,17,2010,Bellville,TX,0,5,5,0,0,1,0,0,1,1,"Bellville, TX",-96.2571858,29.9502253,1/17/2010,1842
140,1,16,2010,Oklahoma City,OK,4,1,5,0,0,1,0,1,0,1,"Oklahoma City, OK",-97.5164276,35.4675602,1/16/2010,1841
141,1,14,2010,Hernando County Dixie County,FL,2,2,4,0,0,1,0,0,0,1,"Hernando County Dixie County, FL",-82.5514061,28.6751723,1/14/2010,1839
142,1,12,2010,Kennesaw,GA,3,2,5,0,0,1,0,0,0,1,"Kennesaw, GA",-84.6154897,34.0234337,1/12/2010,1837
143,1,11,2010,Tulsa,OK,3,1,4,0,0,1,0,0,1,1,"Tulsa, OK",-95.992775,36.1539816,1/11/2010,1836
144,1,11,2010,Tulsa,OK,3,1,4,0,0,1,0,0,1,1,"Tulsa, OK",-95.992775,36.1539816,1/11/2010,1836
145,1,10,2010,West Odessa,TX,4,1,5,0,0,1,0,0,0,NA,"West Odessa, TX",-102.4965061,31.8419794,1/10/2010,1835
146,1,10,2010,Dallas,TX,4,0,4,0,0,1,0,1,0,NA,"Dallas, TX",-96.7969879,32.7766642,1/10/2010,1835
147,1,7,2010,New Orleans,LA,1,3,4,0,0,1,0,0,1,1,"New Orleans, LA",-90.0715323,29.9510658,1/7/2010,1832
148,1,7,2010,St.Louis,MO,5,3,8,1,0,1,0,0,0,1,"St.Louis, MO",-90.1994042,38.6270025,1/7/2010,1832
